island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
1,0,0.0,0.5,02:03:12.00,-15:27:20.01,30.799998563241132,4.084974439457993e-05,-15.455557596032408,4.0763946062227774e-05,46.18281801033134,0.4833309269725957,46.75732079852337,0.5633484691090167,30.19444865150952,0.1274757183868316,30.18123801679862,0.12737081292076835,-2.1856972449278746,14.387468352801847,0,-0.059519549723765906,0.07874607024743199,db2ff2fc-70a5-4f73-aa5f-d46c39a5e176,30.00093687456555,30.002687467998047,-0.2131490817591656
2,0,0.0,0.5,02:03:12.00,-15:24:40.01,30.79999890158386,4.041857157001286e-05,-15.411112793195176,4.0341582989711355e-05,46.664055360812256,0.48335532076058774,47.22384699540945,0.5630776467217286,30.18970435497601,0.12610352120742604,30.172582914156127,0.12597590118571053,2.179319593630161,10.878600124947766,0,-0.06898239219315722,0.08975239158133806,626aaf06-06e8-4ba2-9c81-93718cb2f3cc,30.00076195904092,30.002688627636584,-0.21255094113252887
3,0,0.0,0.5,02:03:12.00,-15:21:59.99,30.799999424188133,4.0009731410731943e-05,-15.366664315326803,3.987656288195751e-05,47.15913725718498,0.48342038389994696,47.677709385573536,0.5626408734198143,30.173735858516167,0.1246634445434739,30.158562879391575,0.12475846229115518,88.11901276662736,15.70613303484033,0,-0.06085721102778731,0.08145188949229788,b6682a87-6d46-4d38-ba3b-f3643162d9aa,30.0006050882534,30.002689785750956,-0.21195267140039062
4,0,0.0,0.5,02:03:12.00,-15:19:19.99,30.799998233284512,3.9538471125589414e-05,-15.322219442869892,3.944134441979941e-05,47.71290252621409,0.48337175066484844,48.27562561298596,0.5630585616758619,30.18007890378243,0.12335176381127279,30.17587827142554,0.1233014709129564,1.293787317938729,31.329951648437685,0,-0.06148587952685246,0.0771153128895938,bbf97d50-2e22-44bd-857f-d64bf540c12a,30.000466287470047,30.002690929139128,-0.21135386898257746
5,0,0.0,0.5,02:03:12.00,-15:16:40.01,30.799999885823176,3.9141377954549694e-05,-15.277780099784371,3.904768241014267e-05,48.15446233008581,0.48353915912769924,48.59677605162404,0.5608134129562836,30.142233525047992,0.12122830140007368,30.135745640938673,0.12117851337860285,-7.072566785635054,24.44345120687589,0,-0.061964327899434034,0.0832645676697197,42a2bde9-1007-4af3-9ceb-a149da7d1899,30.0003455567338,30.002692088575643,-0.2107557647040062
6,0,0.0,0.5,02:03:12.00,-15:13:60.00,30.80000027045473,3.876086247465938e-05,-15.233333088260713,3.864957048271833e-05,48.65527084124581,0.48347289783553804,49.15256624541014,0.5622669616875289,30.156949116946596,0.12082524613063075,30.15184562179239,0.12085313660122829,88.22142953713704,73.60258811450235,0,-0.05332289388284796,0.07520843595569045,f014a19e-c090-42b2-9dd4-7a838d5adcc9,30.000242861136677,30.002693236636613,-0.21015709462094118
7,0,0.0,0.5,02:03:12.00,-15:11:19.99,30.799999645149775,3.8365752838683886e-05,-15.188886176429229,3.8247909449395934e-05,49.179912858719064,0.48339488650266516,49.740075869561934,0.5622631123751295,30.177029472067197,0.11909309045070747,30.16657710016407,0.11912872243721889,-84.71457140234988,25.89443880673501,0,-0.07414153809844135,0.08424642599413935,f66d1209-53b7-433e-9c71-7e01d8743176,30.000158222989004,30.002694374849657,-0.20955803448428692
8,0,0.0,0.5,02:03:12.00,-15:08:40.00,30.799999651463054,3.7981956574867386e-05,-15.14444359256809,3.785425243840734e-05,49.693693386196465,0.4833518783466248,50.289742984280316,0.563020184960695,30.189217980388886,0.11826477632023093,30.172350738691666,0.1183517556658414,-87.37174396574201,13.933854579467322,0,-0.10648436342223577,0.09001032232384382,d2c36260-df37-4721-b542-2702fa2d7b1f,30.000091647312832,30.002695514158717,-0.20895907206334868
9,0,0.0,0.5,02:03:12.00,-15:06:00.00,30.79999717591179,3.758631607870189e-05,-15.100001085031156,3.748881305476459e-05,50.20624501058727,0.4833158962836143,50.83591339812015,0.5634198611254148,30.190643568304885,0.11723975001167453,30.187190482256657,0.11723955050332242,-88.80467305017716,100.31079386103224,0,-0.33055633222161135,7.942280365953113,7df918e7-deda-4122-8e45-68d295a71721,30.000043124891427,30.00269663369022,-0.2083593385484468
